Date,DayOfWeek,Month,Season,Weekend,Holiday,Ramadan,Promotion,NearbyEvent,TemperatureC,RainfallMM,FootTraffic,AvgOrderValue,TopSellingProduct,WorkingHours,DailyRevenue
2023-01-31,Tuesday,1,Winter,0,0,0,0,0,14,0.0,120,8.03,Mocha,10,910.84
2023-02-01,Wednesday,2,Winter,0,0,0,0,0,14,0.0,133,5.95,Latte,10,700.68
2023-02-02,Thursday,2,Winter,0,0,0,0,0,15,1.9,154,7.6,Cappuccino,10,1136.15
2023-02-03,Friday,2,Winter,0,0,0,0,0,15,3.1,123,5.39,Sandwich,10,630.93
2023-02-04,Saturday,2,Winter,1,0,0,1,0,5,0.0,231,9.49,Latte,11,2453.18
2023-02-05,Sunday,2,Winter,1,0,0,0,0,18,0.0,195,10.02,Cappuccino,11,2053.54
2023-02-06,Monday,2,Winter,0,0,0,0,1,10,5.4,182,8.14,Sandwich,10,1595.81
2023-02-07,Tuesday,2,Winter,0,0,0,0,0,8,0.0,137,5.45,Espresso,10,726.49
2023-02-08,Wednesday,2,Winter,0,0,0,0,0,14,4.6,149,5.38,Tea,10,688.59
2023-02-09,Thursday,2,Winter,0,0,0,1,0,5,10.1,187,4.92,Americano,10,861.89
2023-02-10,Friday,2,Winter,0,0,0,0,0,14,5.1,153,7.25,Espresso,10,1228.67
2023-02-11,Saturday,2,Winter,1,1,0,1,0,6,1.5,224,9.39,Sandwich,11,2272.24
2023-02-12,Sunday,2,Winter,1,0,0,0,0,17,0.0,222,7.21,Latte,11,1558.62
2023-02-13,Monday,2,Winter,0,0,0,0,0,18,2.6,123,8.74,Tea,10,1036.71
2023-02-14,Tuesday,2,Winter,0,0,0,1,0,14,9.7,156,7.87,Latte,10,1221.87
2023-02-15,Wednesday,2,Winter,0,0,0,0,0,12,4.6,153,7.98,Espresso,10,1165.42
2023-02-16,Thursday,2,Winter,0,0,0,0,0,12,3.6,147,4.55,Americano,10,744.25
2023-02-17,Friday,2,Winter,0,0,0,1,0,10,0.9,195,10.29,Mocha,10,2284.09
2023-02-18,Saturday,2,Winter,1,0,0,0,0,18,0.0,189,7.82,Sandwich,11,1336.85
2023-02-19,Sunday,2,Winter,1,0,0,0,0,17,3.5,202,9.49,Espresso,11,1906.02
2023-02-20,Monday,2,Winter,0,0,0,0,0,11,5.7,143,6.41,Tea,10,771.49
2023-02-21,Tuesday,2,Winter,0,0,0,1,0,13,1.5,184,8.74,Espresso,10,1702.77
2023-02-22,Wednesday,2,Winter,0,0,0,0,0,6,0.0,125,7.95,Mocha,10,963.72
2023-02-23,Thursday,2,Winter,0,0,0,0,0,11,2.6,111,6.05,Mocha,10,695.69
2023-02-24,Friday,2,Winter,0,0,0,1,0,15,2.9,205,5.11,Tea,10,1090.94
2023-02-25,Saturday,2,Winter,1,0,0,1,0,12,5.9,257,7.98,Mocha,11,2347.82
2023-02-26,Sunday,2,Winter,1,0,0,0,0,14,0.0,187,7.82,Espresso,11,1354.65
2023-02-27,Monday,2,Winter,0,0,0,1,0,11,3.9,185,8.54,Americano,10,1794.36
2023-02-28,Tuesday,2,Winter,0,0,0,0,0,7,5.4,147,4.59,Pastry,10,540.88
2023-03-01,Wednesday,3,Spring,0,0,1,0,0,21,8.8,103,4.72,Americano,10,513.42
2023-03-02,Thursday,3,Spring,0,0,0,0,1,30,9.3,202,7.48,Tea,10,1677.88
2023-03-03,Friday,3,Spring,0,1,0,0,0,22,3.5,110,4.57,Tea,10,528.19
2023-03-04,Saturday,3,Spring,1,0,0,0,0,27,3.0,182,7.89,Pastry,11,1475.25
2023-03-05,Sunday,3,Spring,1,0,1,0,0,20,5.4,188,7.89,Latte,11,1545.11
2023-03-06,Monday,3,Spring,0,0,1,0,0,27,5.4,120,7.2,Sandwich,10,875.79
2023-03-07,Tuesday,3,Spring,0,0,1,1,0,19,0.0,173,10.16,Sandwich,10,2035.35
2023-03-08,Wednesday,3,Spring,0,0,1,0,0,21,3.6,98,5.87,Tea,10,467.45
2023-03-09,Thursday,3,Spring,0,1,1,0,0,28,5.3,113,9.24,Latte,10,955.11
2023-03-10,Friday,3,Spring,0,0,0,1,0,20,1.8,166,7.07,Espresso,10,1310.64
2023-03-11,Saturday,3,Spring,1,0,0,0,0,26,2.2,217,9.4,Americano,11,2142.87
2023-03-12,Sunday,3,Spring,1,0,0,1,1,24,3.8,305,8.6,Sandwich,11,3153.04
2023-03-13,Monday,3,Spring,0,0,1,1,1,21,7.3,211,7.44,Pastry,10,1737.12
2023-03-14,Tuesday,3,Spring,0,0,0,0,0,19,4.2,113,7.29,Espresso,10,819.61
2023-03-15,Wednesday,3,Spring,0,0,1,1,0,25,1.4,160,7.84,Espresso,10,1272.76
2023-03-16,Thursday,3,Spring,0,0,0,0,0,26,1.1,122,4.86,Pastry,10,701.68
2023-03-17,Friday,3,Spring,0,0,1,0,1,27,2.9,180,5.58,Cappuccino,10,1010.18
2023-03-18,Saturday,3,Spring,1,0,1,1,0,27,0.8,259,10.34,Latte,11,2843.6
2023-03-19,Sunday,3,Spring,1,0,1,1,0,29,0.6,221,5.33,Pastry,11,1212.13
2023-03-20,Monday,3,Spring,0,1,1,0,0,30,4.1,103,5.62,Mocha,10,507.49
2023-03-21,Tuesday,3,Spring,0,0,0,1,0,30,0.0,199,6.81,Mocha,10,1477.5
2023-03-22,Wednesday,3,Spring,0,0,1,0,1,26,2.9,185,7.79,Pastry,10,1627.14
2023-03-23,Thursday,3,Spring,0,0,1,0,1,23,3.1,150,10.39,Latte,10,1574.9
2023-03-24,Friday,3,Spring,0,0,0,0,0,21,0.2,157,8.42,Americano,10,1439.28
2023-03-25,Saturday,3,Spring,1,0,1,1,1,28,0.7,281,7.16,Pastry,11,2183.07
2023-03-26,Sunday,3,Spring,1,1,1,1,0,23,4.9,226,8.15,Tea,11,2026.17
2023-03-27,Monday,3,Spring,0,0,1,0,0,27,8.5,83,7.35,Cappuccino,10,530.49
2023-03-28,Tuesday,3,Spring,0,0,1,1,0,21,2.7,155,5.55,Mocha,10,959.4
2023-03-29,Wednesday,3,Spring,0,0,0,0,0,25,6.3,105,7.74,Cappuccino,10,941.24
2023-03-30,Thursday,3,Spring,0,0,1,1,0,21,1.1,172,6.62,Tea,10,1261.61
2023-03-31,Friday,3,Spring,0,0,1,0,0,22,3.2,95,4.83,Espresso,10,402.88
2023-04-01,Saturday,4,Spring,1,0,0,0,0,29,4.9,206,7.62,Tea,11,1590.94
2023-04-02,Sunday,4,Spring,1,0,1,0,0,20,4.8,171,5.91,Cappuccino,11,984.11
2023-04-03,Monday,4,Spring,0,0,0,0,0,19,9.5,143,9.79,Pastry,10,1286.04
2023-04-04,Tuesday,4,Spring,0,0,0,1,1,28,0.4,261,5.94,Tea,10,1766.44
2023-04-05,Wednesday,4,Spring,0,0,0,1,0,23,3.2,186,6.74,Tea,10,1523.62
2023-04-06,Thursday,4,Spring,0,0,1,0,0,18,4.3,105,9.82,Latte,10,1019.19
2023-04-07,Friday,4,Spring,0,0,1,0,1,26,1.2,165,9.45,Sandwich,10,1518.86
2023-04-08,Saturday,4,Spring,1,0,1,0,0,23,0.0,217,9.68,Americano,11,2185.22
2023-04-09,Sunday,4,Spring,1,0,1,0,0,29,2.9,211,7.87,Latte,11,1520.8
2023-04-10,Monday,4,Spring,0,0,0,0,0,21,6.4,116,8.51,Sandwich,10,923.93
2023-04-11,Tuesday,4,Spring,0,0,1,0,1,28,5.0,155,5.73,Pastry,10,836.27
2023-04-12,Wednesday,4,Spring,0,0,1,0,1,19,0.1,165,8.83,Latte,10,1583.87
2023-04-13,Thursday,4,Spring,0,0,1,0,0,23,5.2,118,7.23,Americano,10,755.74
2023-04-14,Friday,4,Spring,0,0,0,0,0,19,3.6,139,8.28,Latte,10,1243.42
2023-04-15,Saturday,4,Spring,1,0,1,0,1,19,3.2,265,7.52,Pastry,11,1981.35
2023-04-16,Sunday,4,Spring,1,0,0,1,1,19,3.7,306,5.79,Espresso,11,1940.23
2023-04-17,Monday,4,Spring,0,0,1,1,0,25,1.7,175,6.69,Americano,10,1384.07
2023-04-18,Tuesday,4,Spring,0,0,0,0,0,29,2.0,137,8.81,Cappuccino,10,1149.71
2023-04-19,Wednesday,4,Spring,0,0,0,1,0,25,4.2,168,8.33,Cappuccino,10,1422.59
2023-04-20,Thursday,4,Spring,0,0,1,0,0,21,5.2,98,7.84,Pastry,10,733.32
2023-04-21,Friday,4,Spring,0,0,1,1,0,18,1.3,164,9.34,Latte,10,1646.21
2023-04-22,Saturday,4,Spring,1,0,1,0,0,29,5.8,201,9.62,Mocha,11,1804.05
2023-04-23,Sunday,4,Spring,1,0,0,1,1,23,3.6,310,7.56,Cappuccino,11,2837.01
2023-04-24,Monday,4,Spring,0,0,0,1,0,19,0.0,176,5.65,Pastry,10,1092.88
2023-04-25,Tuesday,4,Spring,0,0,1,1,0,29,5.2,159,6.38,Latte,10,988.68
2023-04-26,Wednesday,4,Spring,0,0,1,0,0,18,2.8,111,8.42,Sandwich,10,1009.15
2023-04-27,Thursday,4,Spring,0,0,1,1,0,26,6.6,141,6.41,Cappuccino,10,1120.17
2023-04-28,Friday,4,Spring,0,0,0,0,1,24,5.1,198,10.02,Espresso,10,2168.93
2023-04-29,Saturday,4,Spring,1,0,0,1,0,25,4.1,238,5.39,Americano,11,1519.65
2023-04-30,Sunday,4,Spring,1,0,1,0,0,27,8.1,198,9.15,Mocha,11,1642.21
2023-05-01,Monday,5,Spring,0,0,0,0,1,22,0.0,215,6.52,Cappuccino,10,1451.49
2023-05-02,Tuesday,5,Spring,0,0,0,1,0,20,1.8,180,8.81,Tea,10,1683.65
2023-05-03,Wednesday,5,Spring,0,0,0,0,0,20,3.7,121,7.61,Mocha,10,885.56
2023-05-04,Thursday,5,Spring,0,0,0,0,0,20,2.4,117,8.5,Espresso,10,964.35
2023-05-05,Friday,5,Spring,0,0,0,1,0,20,0.6,190,7.44,Cappuccino,10,1599.47
2023-05-06,Saturday,5,Spring,1,0,0,1,0,19,5.2,235,5.22,Tea,11,1272.82
2023-05-07,Sunday,5,Spring,1,0,0,0,1,23,6.1,263,8.17,Americano,11,2144.48
2023-05-08,Monday,5,Spring,0,0,0,0,0,19,7.2,148,6.62,Mocha,10,940.33
2023-05-09,Tuesday,5,Spring,0,0,0,1,0,28,7.1,173,9.61,Espresso,10,1917.65
2023-05-10,Wednesday,5,Spring,0,0,0,0,0,28,4.8,152,6.05,Americano,10,796.39
2023-05-11,Thursday,5,Spring,0,0,0,0,0,28,0.6,151,7.8,Sandwich,10,1081.6
2023-05-12,Friday,5,Spring,0,0,0,1,0,19,6.5,193,7.42,Espresso,10,1451.31
2023-05-13,Saturday,5,Spring,1,0,0,0,0,26,4.4,225,7.3,Latte,11,1678.66
2023-05-14,Sunday,5,Spring,1,0,0,0,0,22,0.4,221,9.67,Cappuccino,11,2164.77
2023-05-15,Monday,5,Spring,0,0,0,0,0,25,2.5,116,6.09,Tea,10,797.88
2023-05-16,Tuesday,5,Spring,0,0,0,0,0,20,7.8,123,5.27,Latte,10,769.93
2023-05-17,Wednesday,5,Spring,0,0,0,0,0,30,6.2,153,8.48,Tea,10,1247.07
2023-05-18,Thursday,5,Spring,0,0,0,0,0,26,6.2,128,6.2,Cappuccino,10,736.64
2023-05-19,Friday,5,Spring,0,0,0,1,1,27,1.0,243,5.84,Mocha,10,1523.74
2023-05-20,Saturday,5,Spring,1,0,0,0,0,29,6.4,217,7.75,Espresso,11,1615.71
2023-05-21,Sunday,5,Spring,1,0,0,1,0,21,5.0,256,6.13,Americano,11,1602.72
2023-05-22,Monday,5,Spring,0,0,0,0,1,28,8.7,155,8.2,Americano,10,1199.2
2023-05-23,Tuesday,5,Spring,0,0,0,0,1,25,10.0,187,10.27,Sandwich,10,1823.7
2023-05-24,Wednesday,5,Spring,0,0,0,0,0,24,4.9,107,6.66,Sandwich,10,712.25
2023-05-25,Thursday,5,Spring,0,0,0,0,0,23,4.8,145,6.01,Tea,10,823.12
2023-05-26,Friday,5,Spring,0,0,0,1,0,21,1.0,206,8.15,Espresso,10,1933.31
2023-05-27,Saturday,5,Spring,1,0,0,0,1,26,6.3,261,7.38,Latte,11,2170.01
2023-05-28,Sunday,5,Spring,1,0,0,0,0,30,4.9,219,9.42,Sandwich,11,1996.93
2023-05-29,Monday,5,Spring,0,0,0,0,1,26,11.2,164,4.93,Americano,10,788.1
2023-05-30,Tuesday,5,Spring,0,0,0,0,0,30,2.3,141,7.42,Latte,10,1055.4
2023-05-31,Wednesday,5,Spring,0,0,0,0,0,20,3.1,153,8.53,Espresso,10,1341.3
2023-06-01,Thursday,6,Summer,0,0,0,0,0,40,4.1,120,8.26,Cappuccino,10,972.84
2023-06-02,Friday,6,Summer,0,0,0,1,0,33,0.0,198,5.25,Americano,10,1248.91
2023-06-03,Saturday,6,Summer,1,0,0,0,0,36,0.0,225,5.39,Sandwich,11,1151.89
2023-06-04,Sunday,6,Summer,1,0,0,0,0,42,0.0,213,4.67,Cappuccino,11,896.11
2023-06-05,Monday,6,Summer,0,0,0,0,0,35,0.5,163,9.17,Tea,10,1424.71
2023-06-06,Tuesday,6,Summer,0,0,0,0,0,41,1.2,137,5.87,Tea,10,923.97
2023-06-07,Wednesday,6,Summer,0,0,0,0,0,42,0.8,140,7.32,Cappuccino,10,902.34
2023-06-08,Thursday,6,Summer,0,0,0,0,1,39,1.8,200,10.1,Mocha,10,2009.91
2023-06-09,Friday,6,Summer,0,0,0,1,0,32,0.0,187,9.7,Mocha,10,1906.64
2023-06-10,Saturday,6,Summer,1,0,0,0,0,29,0.5,231,9.57,Americano,11,2257.11
2023-06-11,Sunday,6,Summer,1,0,0,1,1,28,5.1,286,10.23,Pastry,11,3474.93
2023-06-12,Monday,6,Summer,0,0,0,1,0,40,1.6,200,7.59,Cappuccino,10,1774.51
2023-06-13,Tuesday,6,Summer,0,0,0,0,0,29,5.8,138,5.23,Sandwich,10,576.95
2023-06-14,Wednesday,6,Summer,0,0,0,0,0,41,0.0,157,10.46,Espresso,10,1531.06
2023-06-15,Thursday,6,Summer,0,0,0,0,0,30,1.6,132,9.63,Espresso,10,1250.22
2023-06-16,Friday,6,Summer,0,0,0,1,0,41,4.1,169,6.74,Espresso,10,1376.58
2023-06-17,Saturday,6,Summer,1,0,0,1,0,39,1.4,266,5.37,Pastry,11,1506.54
2023-06-18,Sunday,6,Summer,1,0,0,0,0,39,4.2,195,7.87,Espresso,11,1432.29
2023-06-19,Monday,6,Summer,0,0,0,0,0,33,0.0,147,6.57,Tea,10,866.49
2023-06-20,Tuesday,6,Summer,0,0,0,1,0,31,3.8,197,9.55,Sandwich,10,1948.22
2023-06-21,Wednesday,6,Summer,0,0,0,0,0,41,1.2,154,9.3,Pastry,10,1369.72
2023-06-22,Thursday,6,Summer,0,0,0,0,0,41,0.1,163,7.47,Americano,10,1143.47
2023-06-23,Friday,6,Summer,0,0,0,0,0,38,2.4,139,8.79,Americano,10,1079.0
2023-06-24,Saturday,6,Summer,1,0,0,0,0,29,8.0,202,8.85,Cappuccino,11,1887.67
2023-06-25,Sunday,6,Summer,1,0,0,1,0,33,0.0,264,9.17,Sandwich,11,2779.94
2023-06-26,Monday,6,Summer,0,0,0,0,0,36,1.5,115,6.68,Pastry,10,755.7
2023-06-27,Tuesday,6,Summer,0,0,0,0,0,39,1.2,131,9.68,Sandwich,10,1286.16
2023-06-28,Wednesday,6,Summer,0,0,0,0,0,29,3.7,153,7.56,Tea,10,1160.59
2023-06-29,Thursday,6,Summer,0,0,0,0,0,29,0.0,133,10.13,Americano,10,1370.18
2023-06-30,Friday,6,Summer,0,0,0,0,0,40,0.3,120,9.19,Mocha,10,957.82
2023-07-01,Saturday,7,Summer,1,0,0,1,0,35,1.4,269,6.46,Pastry,11,1769.99
2023-07-02,Sunday,7,Summer,1,0,0,0,0,35,0.0,217,9.0,Pastry,11,2032.46
2023-07-03,Monday,7,Summer,0,0,0,0,0,30,1.5,119,6.57,Latte,10,828.94
2023-07-04,Tuesday,7,Summer,0,0,0,1,0,33,4.6,189,10.31,Espresso,10,2194.2
2023-07-05,Wednesday,7,Summer,0,0,0,1,0,33,0.8,185,9.04,Cappuccino,10,1711.35
2023-07-06,Thursday,7,Summer,0,0,0,0,0,34,0.0,152,9.98,Mocha,10,1489.63
2023-07-07,Friday,7,Summer,0,0,0,1,0,30,0.0,177,9.03,Espresso,10,1903.88
2023-07-08,Saturday,7,Summer,1,0,0,0,0,29,3.6,189,9.11,Tea,11,1801.65
2023-07-09,Sunday,7,Summer,1,0,0,0,1,29,2.2,248,7.66,Espresso,11,1951.85
2023-07-10,Monday,7,Summer,0,0,0,0,0,42,0.0,121,8.33,Cappuccino,10,911.44
2023-07-11,Tuesday,7,Summer,0,0,0,0,0,40,6.3,122,6.19,Mocha,10,641.1
2023-07-12,Wednesday,7,Summer,0,0,0,0,0,30,3.7,113,9.5,Pastry,10,1128.53
2023-07-13,Thursday,7,Summer,0,0,0,0,0,38,3.5,108,8.15,Tea,10,1011.81
2023-07-14,Friday,7,Summer,0,0,0,0,0,37,3.6,143,8.06,Mocha,10,1056.8
2023-07-15,Saturday,7,Summer,1,0,0,0,1,34,1.9,238,5.63,Mocha,11,1279.07
2023-07-16,Sunday,7,Summer,1,0,0,0,0,33,4.6,183,6.41,Espresso,11,1289.49
2023-07-17,Monday,7,Summer,0,0,0,0,0,42,1.3,155,5.51,Tea,10,829.03
2023-07-18,Tuesday,7,Summer,0,1,0,0,1,32,4.6,184,9.57,Latte,10,1972.98
2023-07-19,Wednesday,7,Summer,0,0,0,0,0,30,1.6,134,6.04,Sandwich,10,936.89
2023-07-20,Thursday,7,Summer,0,0,0,0,1,40,0.9,212,5.66,Mocha,10,1268.38
2023-07-21,Friday,7,Summer,0,0,0,0,0,29,0.0,115,8.59,Mocha,10,937.52
2023-07-22,Saturday,7,Summer,1,0,0,0,0,39,2.2,213,7.69,Tea,11,1538.59
2023-07-23,Sunday,7,Summer,1,0,0,0,0,37,1.5,183,6.47,Pastry,11,1040.12
2023-07-24,Monday,7,Summer,0,1,0,0,0,29,4.5,109,6.13,Tea,10,739.93
2023-07-25,Tuesday,7,Summer,0,0,0,0,0,35,2.1,148,10.08,Espresso,10,1360.42
2023-07-26,Wednesday,7,Summer,0,0,0,0,0,41,0.0,161,4.53,Latte,10,722.6
2023-07-27,Thursday,7,Summer,0,0,0,1,0,33,0.0,162,5.99,Pastry,10,989.66
2023-07-28,Friday,7,Summer,0,0,0,0,0,37,0.1,125,6.28,Espresso,10,795.47
2023-07-29,Saturday,7,Summer,1,0,0,0,0,42,8.4,175,9.03,Americano,11,1474.05
2023-07-30,Sunday,7,Summer,1,0,0,1,1,37,4.5,303,5.75,Americano,11,1948.96
2023-07-31,Monday,7,Summer,0,1,0,0,0,29,2.7,150,6.81,Mocha,10,960.83
2023-08-01,Tuesday,8,Summer,0,0,0,0,0,40,6.9,150,4.97,Sandwich,10,863.65
2023-08-02,Wednesday,8,Summer,0,0,0,1,0,28,1.0,162,8.28,Espresso,10,1585.86
2023-08-03,Thursday,8,Summer,0,0,0,0,0,28,0.8,150,5.04,Espresso,10,720.51
2023-08-04,Friday,8,Summer,0,0,0,0,0,31,2.6,134,5.11,Latte,10,701.32
2023-08-05,Saturday,8,Summer,1,0,0,1,0,34,6.3,252,5.19,Espresso,11,1560.43
2023-08-06,Sunday,8,Summer,1,0,0,0,0,37,0.0,197,9.58,Sandwich,11,1906.78
2023-08-07,Monday,8,Summer,0,0,0,1,0,30,0.8,209,10.13,Pastry,10,2206.24
2023-08-08,Tuesday,8,Summer,0,0,0,0,0,42,0.0,143,6.8,Latte,10,1059.65
2023-08-09,Wednesday,8,Summer,0,0,0,0,0,33,6.3,140,6.62,Tea,10,795.85
2023-08-10,Thursday,8,Summer,0,0,0,0,0,32,2.4,119,4.84,Americano,10,714.93
2023-08-11,Friday,8,Summer,0,0,0,0,0,42,0.0,157,8.42,Americano,10,1443.24
2023-08-12,Saturday,8,Summer,1,0,0,1,0,33,0.0,257,9.33,Tea,11,2669.69
2023-08-13,Sunday,8,Summer,1,0,0,0,0,35,0.0,220,9.66,Americano,11,2000.48
2023-08-14,Monday,8,Summer,0,0,0,1,1,32,1.5,223,8.65,Tea,10,2131.54
2023-08-15,Tuesday,8,Summer,0,0,0,1,0,31,2.1,180,5.12,Espresso,10,975.55
2023-08-16,Wednesday,8,Summer,0,0,0,0,0,34,2.1,126,8.72,Mocha,10,1130.61
2023-08-17,Thursday,8,Summer,0,0,0,1,0,40,2.8,185,4.74,Mocha,10,880.65
2023-08-18,Friday,8,Summer,0,1,0,1,0,41,3.6,181,9.92,Mocha,10,1855.86
2023-08-19,Saturday,8,Summer,1,0,0,1,0,29,0.0,251,6.95,Cappuccino,11,2057.15
2023-08-20,Sunday,8,Summer,1,0,0,0,0,39,0.0,229,4.93,Latte,11,1143.95
2023-08-21,Monday,8,Summer,0,0,0,0,0,28,0.0,161,10.02,Latte,10,1596.8
2023-08-22,Tuesday,8,Summer,0,0,0,0,0,35,3.2,149,6.99,Espresso,10,1117.07
2023-08-23,Wednesday,8,Summer,0,0,0,0,1,42,3.6,197,7.13,Tea,10,1544.51
2023-08-24,Thursday,8,Summer,0,0,0,0,0,40,4.9,155,9.02,Tea,10,1463.71
2023-08-25,Friday,8,Summer,0,0,0,0,0,35,1.0,119,6.31,Mocha,10,795.5
2023-08-26,Saturday,8,Summer,1,0,0,0,0,35,0.0,222,8.58,Pastry,11,1979.52
2023-08-27,Sunday,8,Summer,1,0,0,0,0,42,0.0,200,7.2,Americano,11,1445.86
2023-08-28,Monday,8,Summer,0,0,0,0,0,35,8.8,134,6.13,Sandwich,10,901.39
2023-08-29,Tuesday,8,Summer,0,0,0,0,0,41,4.1,122,9.38,Sandwich,10,1270.98
2023-08-30,Wednesday,8,Summer,0,0,0,0,1,40,0.0,219,7.92,Americano,10,1755.31
2023-08-31,Thursday,8,Summer,0,0,0,1,0,35,1.2,167,9.48,Espresso,10,1791.74
2023-09-01,Friday,9,Autumn,0,1,0,1,0,18,1.4,169,6.77,Sandwich,10,1188.08
2023-09-02,Saturday,9,Autumn,1,0,0,1,0,30,5.8,247,7.89,Mocha,11,2081.01
2023-09-03,Sunday,9,Autumn,1,0,0,1,0,28,7.3,232,8.92,Latte,11,2195.04
2023-09-04,Monday,9,Autumn,0,0,0,0,0,27,3.3,152,5.0,Latte,10,760.47
2023-09-05,Tuesday,9,Autumn,0,0,0,0,0,21,0.0,147,4.87,Tea,10,854.64
2023-09-06,Wednesday,9,Autumn,0,0,0,1,0,24,4.0,157,8.58,Latte,10,1500.93
2023-09-07,Thursday,9,Autumn,0,0,0,1,0,27,0.2,164,7.97,Sandwich,10,1381.94
2023-09-08,Friday,9,Autumn,0,0,0,0,0,29,1.6,148,8.97,Cappuccino,10,1454.1
2023-09-09,Saturday,9,Autumn,1,0,0,1,0,18,3.6,232,8.85,Cappuccino,11,2322.51
2023-09-10,Sunday,9,Autumn,1,0,0,0,0,22,2.0,196,6.18,Sandwich,11,1148.19
2023-09-11,Monday,9,Autumn,0,0,0,0,1,24,4.8,192,10.44,Cappuccino,10,2137.88
2023-09-12,Tuesday,9,Autumn,0,0,0,0,0,30,4.8,132,4.84,Mocha,10,664.59
2023-09-13,Wednesday,9,Autumn,0,0,0,0,0,19,0.2,135,4.75,Espresso,10,605.46
2023-09-14,Thursday,9,Autumn,0,0,0,1,0,21,1.4,190,5.62,Pastry,10,1077.03
2023-09-15,Friday,9,Autumn,0,0,0,0,0,30,1.1,121,7.83,Sandwich,10,838.62
2023-09-16,Saturday,9,Autumn,1,0,0,0,0,29,0.0,215,8.69,Pastry,11,1938.88
2023-09-17,Sunday,9,Autumn,1,0,0,0,1,19,3.7,271,6.35,Tea,11,1747.24
2023-09-18,Monday,9,Autumn,0,0,0,1,0,21,5.3,175,5.47,Pastry,10,1169.89
2023-09-19,Tuesday,9,Autumn,0,0,0,0,1,18,8.6,161,6.78,Americano,10,1188.48
2023-09-20,Wednesday,9,Autumn,0,0,0,0,0,21,2.9,121,5.48,Cappuccino,10,753.62
2023-09-21,Thursday,9,Autumn,0,0,0,0,0,21,12.4,101,5.37,Espresso,10,540.21
2023-09-22,Friday,9,Autumn,0,0,0,1,0,19,0.1,176,9.01,Tea,10,1877.17
2023-09-23,Saturday,9,Autumn,1,0,0,0,0,26,0.0,214,6.19,Cappuccino,11,1267.69
